district,state,latitude,longitude,crimeType,severity,year,timeOfDay,caseCount,source
Guntur,Andhra Pradesh,16.475604,80.324602,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Hyderabad City,Andhra Pradesh,17.333974,78.505681,RAPE,HIGH,2001,EVENING,1,synthetic
Hyderabad City,Andhra Pradesh,17.390002,78.349605,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Hyderabad City,Andhra Pradesh,17.32441,78.570324,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
Hyderabad City,Andhra Pradesh,17.360625,78.477007,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Hyderabad City,Andhra Pradesh,17.314232,78.340445,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Hyderabad City,Andhra Pradesh,17.43067,78.285008,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Karimnagar,Andhra Pradesh,18.360978,79.284626,RAPE,HIGH,2001,NIGHT,1,synthetic
Karimnagar,Andhra Pradesh,18.494802,79.097526,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Karimnagar,Andhra Pradesh,18.372028,79.201693,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Karimnagar,Andhra Pradesh,18.286027,79.074339,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Karimnagar,Andhra Pradesh,18.577816,79.082993,INSULT_TO_MODESTY,MEDIUM,2001,MORNING,1,synthetic
Karimnagar,Andhra Pradesh,18.539668,79.056463,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Khammam,Andhra Pradesh,17.008122,79.982187,RAPE,HIGH,2001,NIGHT,1,synthetic
Khammam,Andhra Pradesh,17.334573,79.9285,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Khammam,Andhra Pradesh,17.257991,80.153856,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Khammam,Andhra Pradesh,17.417075,80.083181,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
Khammam,Andhra Pradesh,17.153022,80.096314,INSULT_TO_MODESTY,MEDIUM,2001,MORNING,1,synthetic
Khammam,Andhra Pradesh,17.378691,80.207559,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
Krishna,Andhra Pradesh,16.646512,80.377889,RAPE,HIGH,2001,NIGHT,1,synthetic
Krishna,Andhra Pradesh,16.581789,80.881471,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Krishna,Andhra Pradesh,16.635994,80.720691,DOWRY_DEATH,HIGH,2001,AFTERNOON,1,synthetic
Krishna,Andhra Pradesh,16.493741,80.935395,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Krishna,Andhra Pradesh,16.579761,80.803631,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Krishna,Andhra Pradesh,16.807169,80.546935,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Kurnool,Andhra Pradesh,15.803289,78.18329,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Kurnool,Andhra Pradesh,16.039106,78.453635,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Kurnool,Andhra Pradesh,15.879538,77.962023,DOWRY_DEATH,HIGH,2001,MORNING,1,synthetic
Kurnool,Andhra Pradesh,15.884117,78.036949,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Kurnool,Andhra Pradesh,15.741577,77.970504,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Kurnool,Andhra Pradesh,15.700144,78.044844,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Mahaboobnagar,Andhra Pradesh,16.620067,77.823397,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Mahaboobnagar,Andhra Pradesh,16.796918,77.841706,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Mahaboobnagar,Andhra Pradesh,16.817939,77.855497,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Mahaboobnagar,Andhra Pradesh,16.782767,78.068313,ASSAULT_ON_WOMEN,MEDIUM,2001,MORNING,1,synthetic
Mahaboobnagar,Andhra Pradesh,16.630235,78.167753,INSULT_TO_MODESTY,MEDIUM,2001,MORNING,1,synthetic
Mahaboobnagar,Andhra Pradesh,16.788376,77.98528,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Medak,Andhra Pradesh,17.917615,78.18364,RAPE,HIGH,2001,NIGHT,1,synthetic
Medak,Andhra Pradesh,17.929532,78.374162,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Medak,Andhra Pradesh,18.056255,78.620494,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
Medak,Andhra Pradesh,18.077555,78.301586,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Medak,Andhra Pradesh,17.971944,78.213547,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Medak,Andhra Pradesh,17.970269,78.27873,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Nalgonda,Andhra Pradesh,17.192969,79.346078,RAPE,HIGH,2001,EVENING,1,synthetic
Nalgonda,Andhra Pradesh,16.920295,79.210761,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Nalgonda,Andhra Pradesh,17.021926,79.118182,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Nalgonda,Andhra Pradesh,17.24786,79.330895,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Nalgonda,Andhra Pradesh,17.076053,79.292933,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Nalgonda,Andhra Pradesh,17.008185,79.332987,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Nellore,Andhra Pradesh,14.390976,79.900887,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Nellore,Andhra Pradesh,14.29997,80.09513,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Nellore,Andhra Pradesh,14.473281,79.9305,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Nellore,Andhra Pradesh,14.598726,79.978333,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Nellore,Andhra Pradesh,14.508277,80.021308,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Nellore,Andhra Pradesh,14.530448,80.25567,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Nizamabad,Andhra Pradesh,18.826823,77.958546,RAPE,HIGH,2001,EVENING,1,synthetic
Nizamabad,Andhra Pradesh,18.53907,78.176752,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Nizamabad,Andhra Pradesh,18.747467,78.197575,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
Nizamabad,Andhra Pradesh,18.412254,78.23037,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Nizamabad,Andhra Pradesh,18.726528,78.286088,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Nizamabad,Andhra Pradesh,18.924714,78.128462,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Prakasham,Andhra Pradesh,15.375697,79.694219,RAPE,HIGH,2001,EVENING,1,synthetic
Prakasham,Andhra Pradesh,15.36824,79.669776,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Prakasham,Andhra Pradesh,15.411877,79.628033,DOWRY_DEATH,HIGH,2001,MORNING,1,synthetic
Prakasham,Andhra Pradesh,15.247889,79.516859,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Prakasham,Andhra Pradesh,15.311066,79.805447,INSULT_TO_MODESTY,MEDIUM,2001,MORNING,1,synthetic
Prakasham,Andhra Pradesh,15.196732,79.394769,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Ranga Reddy,Andhra Pradesh,17.186788,78.501014,RAPE,HIGH,2001,NIGHT,1,synthetic
Ranga Reddy,Andhra Pradesh,17.442328,78.290612,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Ranga Reddy,Andhra Pradesh,17.44089,78.296499,DOWRY_DEATH,HIGH,2001,AFTERNOON,1,synthetic
Ranga Reddy,Andhra Pradesh,17.425553,78.531471,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Ranga Reddy,Andhra Pradesh,17.174343,78.495076,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Ranga Reddy,Andhra Pradesh,17.312198,78.441087,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Ranga Reddy,Andhra Pradesh,17.503757,78.391131,IMPORTATION_OF_GIRLS,CRITICAL,2001,EVENING,1,synthetic
Secunderabad Rly.,Andhra Pradesh,15.875714,79.517725,DOWRY_DEATH,HIGH,2001,MORNING,1,synthetic
Secunderabad Rly.,Andhra Pradesh,15.978029,79.986023,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Srikakulam,Andhra Pradesh,18.3381,83.927039,RAPE,HIGH,2001,NIGHT,1,synthetic
Srikakulam,Andhra Pradesh,18.40163,83.88409,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Srikakulam,Andhra Pradesh,18.25102,83.79317,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
Srikakulam,Andhra Pradesh,18.235056,83.981511,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Srikakulam,Andhra Pradesh,18.231813,83.9658,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Srikakulam,Andhra Pradesh,18.427588,83.8011,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
Vijayawada,Andhra Pradesh,16.501042,80.605692,RAPE,HIGH,2001,EVENING,1,synthetic
Vijayawada,Andhra Pradesh,16.651208,80.699797,KIDNAPPING_ABDUCTION,HIGH,2001,AFTERNOON,1,synthetic
Vijayawada,Andhra Pradesh,16.355509,80.834633,DOWRY_DEATH,HIGH,2001,MORNING,1,synthetic
Vijayawada,Andhra Pradesh,16.537631,80.721474,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Vijayawada,Andhra Pradesh,16.515837,80.6013,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Vijayawada,Andhra Pradesh,16.610217,80.468511,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Vijayawada Rly.,Andhra Pradesh,16.597021,80.611381,RAPE,HIGH,2001,EVENING,1,synthetic
Vijayawada Rly.,Andhra Pradesh,16.549294,80.583834,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
Vijayawada Rly.,Andhra Pradesh,16.554186,80.692033,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Visakha Rural,Andhra Pradesh,16.147534,79.948147,RAPE,HIGH,2001,NIGHT,1,synthetic
Visakha Rural,Andhra Pradesh,15.426892,79.683068,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Visakha Rural,Andhra Pradesh,16.348903,80.08375,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Visakha Rural,Andhra Pradesh,15.944483,79.477942,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
Visakha Rural,Andhra Pradesh,16.508229,79.462723,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Visakha Rural,Andhra Pradesh,15.657284,79.625619,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Visakhapatnam,Andhra Pradesh,17.693745,83.279622,RAPE,HIGH,2001,EVENING,1,synthetic
Visakhapatnam,Andhra Pradesh,17.502049,83.445445,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
Visakhapatnam,Andhra Pradesh,17.710684,83.288018,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Visakhapatnam,Andhra Pradesh,17.862485,83.168846,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Visakhapatnam,Andhra Pradesh,17.669272,83.178921,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Vizianagaram,Andhra Pradesh,18.056073,83.418037,RAPE,HIGH,2001,NIGHT,1,synthetic
Vizianagaram,Andhra Pradesh,18.161023,83.505755,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Vizianagaram,Andhra Pradesh,18.173663,83.343451,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Vizianagaram,Andhra Pradesh,18.117727,83.127923,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Vizianagaram,Andhra Pradesh,18.048236,83.505544,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Warangal,Andhra Pradesh,17.990398,79.536515,RAPE,HIGH,2001,MORNING,1,synthetic
Warangal,Andhra Pradesh,18.085732,79.477073,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Warangal,Andhra Pradesh,17.833104,79.623725,DOWRY_DEATH,HIGH,2001,AFTERNOON,1,synthetic
Warangal,Andhra Pradesh,17.984669,79.569958,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Warangal,Andhra Pradesh,18.019806,79.693738,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
West Godavari,Andhra Pradesh,15.58613,79.823366,RAPE,HIGH,2001,EVENING,1,synthetic
West Godavari,Andhra Pradesh,15.520022,80.362517,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
West Godavari,Andhra Pradesh,15.545741,80.187696,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
West Godavari,Andhra Pradesh,16.142922,79.394727,ASSAULT_ON_WOMEN,MEDIUM,2001,MORNING,1,synthetic
West Godavari,Andhra Pradesh,15.618684,79.445953,INSULT_TO_MODESTY,MEDIUM,2001,AFTERNOON,1,synthetic
West Godavari,Andhra Pradesh,15.81256,80.050853,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
Total,Andhra Pradesh,15.907401,79.735285,RAPE,HIGH,2001,NIGHT,1,synthetic
Total,Andhra Pradesh,15.994042,79.987246,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Total,Andhra Pradesh,16.434207,80.187933,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Total,Andhra Pradesh,15.825998,79.923495,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Total,Andhra Pradesh,16.416122,79.827988,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Total,Andhra Pradesh,16.018545,80.029001,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Total,Andhra Pradesh,16.297539,80.054778,IMPORTATION_OF_GIRLS,CRITICAL,2001,AFTERNOON,1,synthetic
Changlang,Arunachal Pradesh,20.934481,77.911917,RAPE,HIGH,2001,EVENING,1,synthetic
Changlang,Arunachal Pradesh,19.821873,78.33781,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
Changlang,Arunachal Pradesh,21.136917,79.659829,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
Dibang Valley,Arunachal Pradesh,19.893164,78.774647,RAPE,HIGH,2001,MORNING,1,synthetic
Dibang Valley,Arunachal Pradesh,20.288592,79.493752,KIDNAPPING_ABDUCTION,HIGH,2001,AFTERNOON,1,synthetic
Dibang Valley,Arunachal Pradesh,20.697664,79.235689,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
Dibang Valley,Arunachal Pradesh,20.884377,78.55621,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Kameng East,Arunachal Pradesh,20.746116,79.104032,RAPE,HIGH,2001,NIGHT,1,synthetic
Kameng East,Arunachal Pradesh,19.627451,79.564891,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Kameng East,Arunachal Pradesh,20.52368,78.356834,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Kameng West,Arunachal Pradesh,20.805003,79.806153,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Lohit,Arunachal Pradesh,20.961097,79.535634,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Lohit,Arunachal Pradesh,19.786407,78.674924,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Lohit,Arunachal Pradesh,20.732787,78.881483,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Papum Pare,Arunachal Pradesh,21.598321,79.127297,RAPE,HIGH,2001,NIGHT,1,synthetic
Papum Pare,Arunachal Pradesh,20.214978,79.575956,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Papum Pare,Arunachal Pradesh,21.002425,79.266526,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Papum Pare,Arunachal Pradesh,21.383734,78.073096,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Siang East,Arunachal Pradesh,21.407006,78.382967,RAPE,HIGH,2001,EVENING,1,synthetic
Siang East,Arunachal Pradesh,20.228308,78.221199,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Siang East,Arunachal Pradesh,20.835615,79.742022,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Siang East,Arunachal Pradesh,21.537539,78.53597,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Siang Upper,Arunachal Pradesh,20.949208,78.14473,RAPE,HIGH,2001,EVENING,1,synthetic
Siang Upper,Arunachal Pradesh,19.720395,78.528413,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
Siang Upper,Arunachal Pradesh,21.426641,79.26081,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Siang West,Arunachal Pradesh,19.911027,78.936916,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Siang West,Arunachal Pradesh,20.687028,78.846689,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Siang West,Arunachal Pradesh,20.861072,79.999498,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Siang West,Arunachal Pradesh,21.135683,78.055239,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
Siang West,Arunachal Pradesh,20.717847,78.124871,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Subansiri Lower,Arunachal Pradesh,20.930485,78.890412,RAPE,HIGH,2001,MORNING,1,synthetic
Subansiri Lower,Arunachal Pradesh,19.792915,79.254505,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Subansiri Lower,Arunachal Pradesh,21.423039,78.596878,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Subansiri Upper,Arunachal Pradesh,20.136411,78.729843,RAPE,HIGH,2001,MORNING,1,synthetic
Subansiri Upper,Arunachal Pradesh,21.232431,79.158047,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Subansiri Upper,Arunachal Pradesh,20.648632,79.179774,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Subansiri Upper,Arunachal Pradesh,20.615197,77.902238,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Tawang,Arunachal Pradesh,20.361096,78.51986,RAPE,HIGH,2001,NIGHT,1,synthetic
Tawang,Arunachal Pradesh,21.62459,79.655987,ASSAULT_ON_WOMEN,MEDIUM,2001,MORNING,1,synthetic
Tawang,Arunachal Pradesh,20.815667,78.218468,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Tirap,Arunachal Pradesh,20.485352,78.146191,RAPE,HIGH,2001,EVENING,1,synthetic
Tirap,Arunachal Pradesh,21.43689,79.565379,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Total,Arunachal Pradesh,21.045683,79.718491,RAPE,HIGH,2001,NIGHT,1,synthetic
Total,Arunachal Pradesh,20.135282,78.129615,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Total,Arunachal Pradesh,21.552065,78.246477,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Total,Arunachal Pradesh,20.980898,78.487922,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Total,Arunachal Pradesh,19.987803,78.898647,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Barpeta,Assam,26.514633,92.869442,RAPE,HIGH,2001,EVENING,1,synthetic
Barpeta,Assam,26.155614,93.329752,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Barpeta,Assam,26.293911,92.805503,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Barpeta,Assam,26.218912,92.760496,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Barpeta,Assam,26.720281,93.105583,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
Bongaigaon,Assam,26.309201,92.886785,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Bongaigaon,Assam,25.966633,92.789347,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
Bongaigaon,Assam,25.804243,92.784274,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
Bongaigaon,Assam,26.531581,93.282681,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Bongaigaon,Assam,26.064204,92.500402,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Cachar,Assam,26.072015,92.621222,RAPE,HIGH,2001,MORNING,1,synthetic
Cachar,Assam,25.953242,93.403793,KIDNAPPING_ABDUCTION,HIGH,2001,AFTERNOON,1,synthetic
Cachar,Assam,26.374099,92.53817,DOWRY_DEATH,HIGH,2001,AFTERNOON,1,synthetic
Cachar,Assam,26.0912,93.07255,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Cachar,Assam,25.884106,93.437238,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Darrang,Assam,26.292705,92.744091,RAPE,HIGH,2001,EVENING,1,synthetic
Darrang,Assam,26.732285,92.589335,KIDNAPPING_ABDUCTION,HIGH,2001,AFTERNOON,1,synthetic
Darrang,Assam,26.012808,93.282538,DOWRY_DEATH,HIGH,2001,AFTERNOON,1,synthetic
Darrang,Assam,25.707423,93.000737,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
