latitude,longitude,gridResolution,riskScore,riskLevel,crimeDensity,nightCrimeRate,severityScore,crimeCount,year
17.285,81.93,0.005,100.0,CRITICAL,174.7169,1.0,138.32,1,
16.13,79.94,0.005,0.84,SAFE,0.7074,1.0,0.56,1,
16.025,79.995,0.005,0.84,SAFE,0.7074,1.0,0.56,1,
15.88,79.855,0.005,0.6,SAFE,0.7074,0.0,0.4,1,
16.135,80.015,0.005,0.84,SAFE,0.7074,1.0,0.56,1,
16.11,79.97,0.005,0.84,SAFE,0.7074,1.0,0.56,1,
16.285,80.385,0.005,64.8,HIGH,38.1972,0.0,43.2,1,
16.39,80.355,0.005,90.72,CRITICAL,38.1972,1.0,60.48,1,
16.36,80.37,0.005,90.72,CRITICAL,38.1972,1.0,60.48,1,
16.34,80.29,0.005,64.8,HIGH,38.1972,0.0,43.2,1,
16.26,80.395,0.005,79.92,HIGH,44.5634,0.1429,26.64,2,
16.475,80.415,0.005,85.68,CRITICAL,36.0752,1.0,57.12,1,
16.275,80.47,0.005,85.68,CRITICAL,36.0752,1.0,57.12,1,
16.21,80.52,0.005,85.68,CRITICAL,36.0752,1.0,57.12,1,
16.39,80.41,0.005,85.68,CRITICAL,36.0752,1.0,57.12,1,
16.4,80.495,0.005,61.2,HIGH,36.0752,0.0,40.8,1,
16.24,80.4,0.005,94.08,CRITICAL,39.6119,1.0,31.36,2,
16.235,80.47,0.005,55.44,MODERATE,24.7575,0.8,18.48,2,
16.255,80.47,0.005,8.4,SAFE,4.9515,0.0,5.6,1,
16.49,80.37,0.005,11.76,SAFE,4.9515,1.0,7.84,1,
16.455,80.4,0.005,8.4,SAFE,4.9515,0.0,5.6,1,
16.295,80.44,0.005,100.0,CRITICAL,98.3225,1.0,77.84,1,
16.32,80.405,0.005,100.0,CRITICAL,304.8704,0.6775,109.56,2,
16.245,80.465,0.005,100.0,CRITICAL,98.3225,1.0,77.84,1,
16.415,80.48,0.005,100.0,CRITICAL,98.3225,1.0,77.84,1,
16.435,80.435,0.005,100.0,CRITICAL,98.3225,1.0,77.84,1,
16.41,80.5,0.005,100.0,CRITICAL,216.4509,1.0,85.68,2,
16.315,80.455,0.005,100.0,CRITICAL,91.2489,1.0,72.24,1,
16.21,80.295,0.005,100.0,CRITICAL,91.2489,1.0,72.24,1,
16.345,80.425,0.005,100.0,CRITICAL,91.2489,1.0,72.24,1,
16.33,80.405,0.005,100.0,CRITICAL,91.2489,1.0,72.24,1,
16.235,80.615,0.005,100.0,CRITICAL,267.3805,1.0,211.68,1,
16.225,80.435,0.005,100.0,CRITICAL,267.3805,0.0,151.2,1,
16.415,80.42,0.005,100.0,CRITICAL,267.3805,1.0,211.68,1,
16.14,80.355,0.005,100.0,CRITICAL,267.3805,0.0,151.2,1,
16.38,80.34,0.005,100.0,CRITICAL,267.3805,1.0,211.68,1,
17.245,78.555,0.005,44.4,MODERATE,26.1722,0.0,29.6,1,
17.485,78.415,0.005,44.4,MODERATE,26.1722,0.0,29.6,1,
17.385,78.425,0.005,78.96,HIGH,36.0752,0.7255,26.32,2,
17.36,78.475,0.005,100.0,CRITICAL,147.8374,1.0,45.92,3,
17.48,78.36,0.005,100.0,CRITICAL,62.2473,0.5795,43.36,2,
17.29,78.445,0.005,65.52,HIGH,27.5869,1.0,43.68,1,
17.47,78.515,0.005,100.0,CRITICAL,236.9642,1.0,104.72,2,
17.25,78.385,0.005,46.8,MODERATE,27.5869,0.0,31.2,1,
17.32,78.63,0.005,65.52,HIGH,27.5869,1.0,43.68,1,
17.515,78.47,0.005,65.52,HIGH,27.5869,1.0,43.68,1,
17.395,78.49,0.005,28.8,SAFE,16.9765,0.0,19.2,1,
17.42,78.445,0.005,40.32,MODERATE,16.9765,1.0,26.88,1,
17.415,78.55,0.005,40.32,MODERATE,16.9765,1.0,26.88,1,
17.3,78.425,0.005,100.0,CRITICAL,88.4195,1.0,70.0,2,
17.37,78.325,0.005,40.32,MODERATE,16.9765,1.0,26.88,1,
17.235,78.42,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
17.375,78.505,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
17.39,78.535,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
17.41,78.39,0.005,70.8,HIGH,83.468,0.0,47.2,1,
17.355,78.425,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
17.34,78.515,0.005,22.68,SAFE,19.0986,1.0,15.12,1,
17.35,78.515,0.005,22.68,SAFE,19.0986,1.0,15.12,1,
17.375,78.545,0.005,22.68,SAFE,19.0986,1.0,15.12,1,
17.495,78.43,0.005,22.68,SAFE,19.0986,1.0,15.12,1,
17.45,78.475,0.005,22.68,SAFE,19.0986,1.0,15.12,1,
17.63,78.51,0.005,100.0,CRITICAL,527.6875,1.0,417.76,1,
17.285,78.415,0.005,100.0,CRITICAL,569.4215,0.9689,155.28,3,
17.435,78.615,0.005,100.0,CRITICAL,527.6875,1.0,417.76,1,
17.345,78.37,0.005,100.0,CRITICAL,556.6891,1.0,231.84,2,
17.405,78.47,0.005,100.0,CRITICAL,527.6875,1.0,417.76,1,
18.58,79.075,0.005,67.2,HIGH,39.6119,0.0,44.8,1,
18.485,79.035,0.005,100.0,CRITICAL,124.4946,1.0,98.56,2,
18.455,79.135,0.005,94.08,CRITICAL,39.6119,1.0,62.72,1,
18.48,79.12,0.005,67.2,HIGH,39.6119,0.0,44.8,1,
18.46,79.13,0.005,67.2,HIGH,39.6119,0.0,44.8,1,
18.45,79.1,0.005,100.0,CRITICAL,62.2473,1.0,49.28,2,
18.505,79.18,0.005,82.32,CRITICAL,34.6604,1.0,54.88,1,
18.435,79.095,0.005,100.0,CRITICAL,200.8891,1.0,93.24,2,
18.495,79.205,0.005,82.32,CRITICAL,34.6604,1.0,54.88,1,
18.375,79.06,0.005,82.32,CRITICAL,34.6604,1.0,54.88,1,
18.515,79.065,0.005,100.0,CRITICAL,43.8561,1.0,69.44,1,
18.375,79.185,0.005,100.0,CRITICAL,559.5185,0.0,119.3333,3,
18.3,79.17,0.005,100.0,CRITICAL,43.8561,1.0,69.44,1,
18.39,79.055,0.005,74.4,HIGH,43.8561,0.0,49.6,1,
18.47,79.275,0.005,74.4,HIGH,43.8561,0.0,49.6,1,
18.57,79.175,0.005,100.0,CRITICAL,292.8453,1.0,231.84,1,
18.34,79.165,0.005,100.0,CRITICAL,292.8453,0.0,165.6,1,
18.425,79.135,0.005,100.0,CRITICAL,292.8453,0.0,165.6,1,
18.365,79.085,0.005,100.0,CRITICAL,430.7797,0.0,121.8,2,
18.515,79.185,0.005,100.0,CRITICAL,292.8453,0.0,165.6,1,
18.54,79.245,0.005,48.6,MODERATE,57.2958,0.0,32.4,1,
18.37,79.155,0.005,68.04,HIGH,57.2958,1.0,45.36,1,
18.365,79.13,0.005,68.04,HIGH,57.2958,1.0,45.36,1,
18.48,79.08,0.005,68.04,HIGH,57.2958,1.0,45.36,1,
18.42,79.115,0.005,68.04,HIGH,57.2958,1.0,45.36,1,
18.405,79.215,0.005,100.0,CRITICAL,158.4477,1.0,125.44,1,
18.42,79.24,0.005,100.0,CRITICAL,158.4477,1.0,125.44,1,
18.505,79.005,0.005,100.0,CRITICAL,158.4477,1.0,125.44,1,
18.49,79.085,0.005,100.0,CRITICAL,608.3261,1.0,240.8,2,
18.505,79.245,0.005,100.0,CRITICAL,158.4477,0.0,89.6,1,
17.245,80.17,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
17.175,80.095,0.005,56.4,MODERATE,33.2457,0.0,37.6,1,
17.315,80.065,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
17.325,80.22,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
17.08,80.09,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
17.23,80.115,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
17.18,80.105,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
17.335,80.365,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
17.155,80.155,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
17.24,80.255,0.005,36.0,MODERATE,21.2207,0.0,24.0,1,
17.35,80.18,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
17.33,80.11,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
17.235,80.26,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
17.295,80.175,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
17.175,80.22,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
17.245,80.025,0.005,100.0,CRITICAL,127.3241,1.0,100.8,1,
17.215,80.255,0.005,100.0,CRITICAL,127.3241,1.0,100.8,1,
17.175,80.19,0.005,100.0,CRITICAL,127.3241,0.0,72.0,1,
17.305,80.185,0.005,100.0,CRITICAL,155.6183,0.8182,66.4,2,
17.22,80.105,0.005,100.0,CRITICAL,127.3241,1.0,100.8,1,
17.33,80.21,0.005,100.0,CRITICAL,278.6982,1.0,126.56,2,
17.185,80.22,0.005,100.0,CRITICAL,237.6716,1.0,188.16,1,
17.11,80.16,0.005,100.0,CRITICAL,237.6716,1.0,188.16,1,
17.115,80.2,0.005,100.0,CRITICAL,237.6716,1.0,188.16,1,
17.22,80.115,0.005,100.0,CRITICAL,237.6716,1.0,188.16,1,
17.125,80.18,0.005,100.0,CRITICAL,121.6652,0.0,68.8,1,
17.16,80.29,0.005,100.0,CRITICAL,121.6652,1.0,96.32,1,
17.27,80.15,0.005,100.0,CRITICAL,121.6652,1.0,96.32,1,
17.215,80.205,0.005,100.0,CRITICAL,165.5213,0.265,69.12,2,
17.14,80.04,0.005,100.0,CRITICAL,121.6652,1.0,96.32,1,
16.585,80.67,0.005,68.88,HIGH,29.0016,1.0,22.96,2,
16.585,80.66,0.005,62.16,HIGH,26.1722,1.0,41.44,1,
16.48,80.61,0.005,100.0,CRITICAL,60.8326,1.0,48.16,2,
16.615,80.705,0.005,44.4,MODERATE,26.1722,0.0,29.6,1,
16.65,80.47,0.005,44.4,MODERATE,26.1722,0.0,29.6,1,
16.61,80.585,0.005,74.4,HIGH,43.8561,0.0,24.8,2,
16.54,80.69,0.005,35.28,MODERATE,14.8545,1.0,23.52,1,
16.585,80.675,0.005,25.2,SAFE,14.8545,0.0,16.8,1,
16.615,80.655,0.005,35.28,MODERATE,14.8545,1.0,23.52,1,
16.56,80.575,0.005,35.28,MODERATE,14.8545,1.0,23.52,1,
16.515,80.53,0.005,18.48,SAFE,7.7809,1.0,6.16,2,
16.43,80.78,0.005,16.8,SAFE,7.0736,1.0,11.2,1,
16.585,80.72,0.005,16.8,SAFE,7.0736,1.0,11.2,1,
16.815,80.67,0.005,12.0,SAFE,7.0736,0.0,8.0,1,
16.59,80.815,0.005,12.0,SAFE,7.0736,0.0,8.0,1,
16.505,80.735,0.005,100.0,CRITICAL,287.1865,1.0,113.68,2,
16.58,80.75,0.005,100.0,CRITICAL,147.8374,0.0048,41.88,2,
16.595,80.575,0.005,100.0,CRITICAL,193.1082,0.7619,84.24,2,
16.635,80.73,0.005,100.0,CRITICAL,147.13,0.0,83.2,1,
16.535,80.64,0.005,100.0,CRITICAL,147.13,0.0,83.2,1,
16.71,80.655,0.005,60.48,HIGH,50.9296,1.0,40.32,1,
16.555,80.685,0.005,60.48,HIGH,50.9296,1.0,40.32,1,
16.51,80.57,0.005,73.92,HIGH,56.5885,1.0,24.64,2,
16.555,80.745,0.005,100.0,CRITICAL,530.5169,0.904,204.24,2,
16.63,80.585,0.005,43.2,MODERATE,50.9296,0.0,28.8,1,
16.535,80.68,0.005,100.0,CRITICAL,187.4493,0.0,106.0,1,
16.5,80.7,0.005,100.0,CRITICAL,187.4493,1.0,148.4,1,
16.555,80.415,0.005,100.0,CRITICAL,187.4493,1.0,148.4,1,
16.62,80.655,0.005,100.0,CRITICAL,187.4493,0.0,106.0,1,
16.535,80.54,0.005,100.0,CRITICAL,217.8656,1.0,86.24,2,
15.85,77.98,0.005,34.8,MODERATE,20.5133,0.0,23.2,1,
15.865,78.01,0.005,48.72,MODERATE,20.5133,1.0,32.48,1,
15.92,78.155,0.005,48.72,MODERATE,20.5133,1.0,32.48,1,
15.91,78.16,0.005,48.72,MODERATE,20.5133,1.0,32.48,1,
15.765,78.17,0.005,34.8,MODERATE,20.5133,0.0,23.2,1,
15.715,78.08,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
15.89,78.0,0.005,100.0,CRITICAL,297.7968,1.0,131.04,2,
15.87,78.095,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
15.815,77.985,0.005,78.96,HIGH,33.2457,1.0,52.64,1,
15.92,77.985,0.005,56.4,MODERATE,33.2457,0.0,37.6,1,
15.71,77.985,0.005,21.84,SAFE,9.1956,1.0,14.56,1,
15.8,78.075,0.005,21.84,SAFE,9.1956,1.0,14.56,1,
15.785,77.985,0.005,100.0,CRITICAL,316.8954,0.4821,73.68,3,
15.785,78.04,0.005,15.6,SAFE,9.1956,0.0,10.4,1,
15.835,78.255,0.005,21.84,SAFE,9.1956,1.0,14.56,1,
15.875,78.01,0.005,100.0,CRITICAL,99.7372,1.0,78.96,1,
15.88,78.07,0.005,84.6,CRITICAL,99.7372,0.0,56.4,1,
15.825,77.96,0.005,100.0,CRITICAL,396.1193,1.0,156.8,2,
15.705,78.055,0.005,100.0,CRITICAL,99.7372,1.0,78.96,1,
15.85,78.03,0.005,84.6,CRITICAL,99.7372,0.0,56.4,1,
15.935,77.92,0.005,89.88,CRITICAL,75.6871,1.0,59.92,1,
15.705,78.16,0.005,64.2,HIGH,75.6871,0.0,42.8,1,
15.885,77.965,0.005,89.88,CRITICAL,75.6871,1.0,59.92,1,
16.005,77.87,0.005,89.88,CRITICAL,75.6871,1.0,59.92,1,
15.72,78.11,0.005,89.88,CRITICAL,75.6871,1.0,59.92,1,
15.9,78.115,0.005,77.28,HIGH,65.0767,1.0,51.52,1,
15.825,78.135,0.005,77.28,HIGH,65.0767,1.0,51.52,1,
15.82,77.95,0.005,77.28,HIGH,65.0767,1.0,51.52,1,
15.785,77.99,0.005,97.68,CRITICAL,77.1018,0.844,32.56,2,
15.815,77.915,0.005,77.28,HIGH,65.0767,1.0,51.52,1,
16.71,77.97,0.005,99.12,CRITICAL,41.734,1.0,66.08,1,
16.8,78.07,0.005,70.8,HIGH,41.734,0.0,47.2,1,
16.91,77.97,0.005,70.8,HIGH,41.734,0.0,47.2,1,
16.82,77.89,0.005,100.0,CRITICAL,65.0767,0.3587,42.08,2,
16.755,78.045,0.005,99.12,CRITICAL,41.734,1.0,66.08,1,
16.875,77.98,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
16.855,77.95,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
16.87,77.985,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
16.775,78.135,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
16.76,77.98,0.005,32.4,MODERATE,19.0986,0.0,21.6,1,
16.85,78.025,0.005,23.52,SAFE,9.903,1.0,15.68,1,
16.725,77.98,0.005,23.52,SAFE,9.903,1.0,15.68,1,
16.755,77.93,0.005,23.52,SAFE,9.903,1.0,15.68,1,
16.7,78.18,0.005,23.52,SAFE,9.903,1.0,15.68,1,
16.85,78.06,0.005,23.52,SAFE,9.903,1.0,15.68,1,
16.65,77.96,0.005,100.0,CRITICAL,124.4946,1.0,98.56,1,
16.695,77.97,0.005,100.0,CRITICAL,124.4946,1.0,98.56,1,
16.78,78.03,0.005,100.0,CRITICAL,124.4946,1.0,98.56,1,
16.73,78.045,0.005,100.0,CRITICAL,124.4946,1.0,98.56,1,
16.785,77.935,0.005,100.0,CRITICAL,124.4946,1.0,98.56,1,
16.69,78.07,0.005,34.44,MODERATE,29.0016,1.0,22.96,1,
16.875,77.925,0.005,24.6,SAFE,29.0016,0.0,16.4,1,
16.775,78.095,0.005,34.44,MODERATE,29.0016,1.0,22.96,1,
16.85,77.855,0.005,34.44,MODERATE,29.0016,1.0,22.96,1,
16.935,77.975,0.005,24.6,SAFE,29.0016,0.0,16.4,1,
16.78,78.11,0.005,41.4,MODERATE,48.8076,0.0,27.6,1,
16.835,78.06,0.005,41.4,MODERATE,48.8076,0.0,27.6,1,
16.725,78.01,0.005,100.0,CRITICAL,98.3225,0.0,41.8,2,
16.715,77.95,0.005,57.96,MODERATE,48.8076,1.0,38.64,1,
16.76,77.845,0.005,57.96,MODERATE,48.8076,1.0,38.64,1,
